날짜,검색횟수,옷종류
2018-02-04,47,니트/스웨터
2018-02-05,44,니트/스웨터
2018-02-06,42,니트/스웨터
2018-02-07,39,니트/스웨터
2018-02-08,34,니트/스웨터
2018-02-09,28,니트/스웨터
2018-02-10,28,니트/스웨터
2018-02-11,39,니트/스웨터
2018-02-12,30,니트/스웨터
2018-02-13,24,니트/스웨터
2018-02-14,21,니트/스웨터
2018-02-15,21,니트/스웨터
2018-02-16,20,니트/스웨터
2018-02-17,25,니트/스웨터
2018-02-18,34,니트/스웨터
2018-02-19,32,니트/스웨터
2018-02-20,28,니트/스웨터
2018-02-21,28,니트/스웨터
2018-02-22,25,니트/스웨터
2018-02-23,21,니트/스웨터
2018-02-24,22,니트/스웨터
2018-02-25,28,니트/스웨터
2018-02-26,28,니트/스웨터
2018-02-27,25,니트/스웨터
2018-02-28,22,니트/스웨터
2018-03-01,27,니트/스웨터
2018-03-02,23,니트/스웨터
2018-03-03,23,니트/스웨터
2018-03-04,29,니트/스웨터
2018-03-05,25,니트/스웨터
2018-03-06,23,니트/스웨터
2018-03-07,22,니트/스웨터
2018-03-08,20,니트/스웨터
2018-03-09,16,니트/스웨터
2018-03-10,18,니트/스웨터
2018-03-11,25,니트/스웨터
2018-03-12,23,니트/스웨터
2018-03-13,21,니트/스웨터
2018-03-14,18,니트/스웨터
2018-03-15,17,니트/스웨터
2018-03-16,14,니트/스웨터
2018-03-17,15,니트/스웨터
2018-03-18,21,니트/스웨터
2018-03-19,18,니트/스웨터
2018-03-20,17,니트/스웨터
2018-03-21,16,니트/스웨터
2018-03-22,14,니트/스웨터
2018-03-23,11,니트/스웨터
2018-03-24,13,니트/스웨터
2018-03-25,16,니트/스웨터
2018-03-26,15,니트/스웨터
2018-03-27,14,니트/스웨터
2018-03-28,12,니트/스웨터
2018-03-29,11,니트/스웨터
2018-03-30,9,니트/스웨터
2018-03-31,9,니트/스웨터
2018-04-01,12,니트/스웨터
2018-04-02,11,니트/스웨터
2018-04-03,10,니트/스웨터
2018-04-04,9,니트/스웨터
2018-04-05,8,니트/스웨터
2018-04-06,7,니트/스웨터
2018-04-07,8,니트/스웨터
2018-04-08,10,니트/스웨터
2018-04-09,9,니트/스웨터
2018-04-10,9,니트/스웨터
2018-04-11,8,니트/스웨터
2018-04-12,7,니트/스웨터
2018-04-13,6,니트/스웨터
2018-04-14,7,니트/스웨터
2018-04-15,8,니트/스웨터
2018-04-16,8,니트/스웨터
2018-04-17,8,니트/스웨터
2018-04-18,7,니트/스웨터
2018-04-19,6,니트/스웨터
2018-04-20,5,니트/스웨터
2018-04-21,5,니트/스웨터
2018-04-22,6,니트/스웨터
2018-04-23,6,니트/스웨터
2018-04-24,6,니트/스웨터
2018-04-25,5,니트/스웨터
2018-04-26,5,니트/스웨터
2018-04-27,4,니트/스웨터
2018-04-28,4,니트/스웨터
2018-04-29,5,니트/스웨터
2018-04-30,4,니트/스웨터
2018-05-01,4,니트/스웨터
2018-05-02,4,니트/스웨터
2018-05-03,4,니트/스웨터
2018-05-04,3,니트/스웨터
2018-05-05,3,니트/스웨터
2018-05-06,4,니트/스웨터
2018-05-07,4,니트/스웨터
2018-05-08,4,니트/스웨터
2018-05-09,4,니트/스웨터
2018-05-10,3,니트/스웨터
2018-05-11,3,니트/스웨터
2018-05-12,4,니트/스웨터
2018-05-13,4,니트/스웨터
2018-05-14,4,니트/스웨터
2018-05-15,4,니트/스웨터
2018-05-16,3,니트/스웨터
2018-05-17,3,니트/스웨터
2018-05-18,3,니트/스웨터
2018-05-19,3,니트/스웨터
2018-05-20,3,니트/스웨터
2018-05-21,3,니트/스웨터
2018-05-22,3,니트/스웨터
2018-05-23,3,니트/스웨터
2018-05-24,3,니트/스웨터
2018-05-25,2,니트/스웨터
2018-05-26,2,니트/스웨터
2018-05-27,3,니트/스웨터
2018-05-28,3,니트/스웨터
2018-05-29,3,니트/스웨터
2018-05-30,3,니트/스웨터
2018-05-31,3,니트/스웨터
2018-06-01,2,니트/스웨터
2018-06-02,2,니트/스웨터
2018-06-03,3,니트/스웨터
2018-06-04,3,니트/스웨터
2018-06-05,2,니트/스웨터
2018-06-06,3,니트/스웨터
2018-06-07,3,니트/스웨터
2018-06-08,2,니트/스웨터
2018-06-09,3,니트/스웨터
2018-06-10,3,니트/스웨터
2018-06-11,3,니트/스웨터
2018-06-12,3,니트/스웨터
2018-06-13,3,니트/스웨터
2018-06-14,3,니트/스웨터
2018-06-15,3,니트/스웨터
2018-06-16,3,니트/스웨터
2018-06-17,3,니트/스웨터
2018-06-18,3,니트/스웨터
2018-06-19,3,니트/스웨터
2018-06-20,3,니트/스웨터
2018-06-21,3,니트/스웨터
2018-06-22,2,니트/스웨터
2018-06-23,3,니트/스웨터
2018-06-24,3,니트/스웨터
2018-06-25,3,니트/스웨터
2018-06-26,3,니트/스웨터
2018-06-27,3,니트/스웨터
2018-06-28,3,니트/스웨터
2018-06-29,2,니트/스웨터
2018-06-30,3,니트/스웨터
2018-07-01,3,니트/스웨터
2018-07-02,3,니트/스웨터
2018-07-03,3,니트/스웨터
2018-07-04,3,니트/스웨터
2018-07-05,3,니트/스웨터
2018-07-06,3,니트/스웨터
2018-07-07,3,니트/스웨터
2018-07-08,3,니트/스웨터
2018-07-09,3,니트/스웨터
2018-07-10,3,니트/스웨터
2018-07-11,3,니트/스웨터
2018-07-12,3,니트/스웨터
2018-07-13,3,니트/스웨터
2018-07-14,3,니트/스웨터
2018-07-15,3,니트/스웨터
2018-07-16,3,니트/스웨터
2018-07-17,3,니트/스웨터
2018-07-18,3,니트/스웨터
2018-07-19,3,니트/스웨터
2018-07-20,3,니트/스웨터
2018-07-21,3,니트/스웨터
2018-07-22,3,니트/스웨터
2018-07-23,3,니트/스웨터
2018-07-24,3,니트/스웨터
2018-07-25,3,니트/스웨터
2018-07-26,3,니트/스웨터
2018-07-27,3,니트/스웨터
2018-07-28,3,니트/스웨터
2018-07-29,3,니트/스웨터
2018-07-30,3,니트/스웨터
2018-07-31,3,니트/스웨터
2018-08-01,3,니트/스웨터
2018-08-02,3,니트/스웨터
2018-08-03,3,니트/스웨터
2018-08-04,3,니트/스웨터
2018-08-05,4,니트/스웨터
2018-08-06,5,니트/스웨터
2018-08-07,4,니트/스웨터
2018-08-08,4,니트/스웨터
2018-08-09,4,니트/스웨터
2018-08-10,3,니트/스웨터
2018-08-11,4,니트/스웨터
2018-08-12,5,니트/스웨터
2018-08-13,4,니트/스웨터
2018-08-14,4,니트/스웨터
2018-08-15,5,니트/스웨터
2018-08-16,5,니트/스웨터
2018-08-17,5,니트/스웨터
2018-08-18,5,니트/스웨터
2018-08-19,7,니트/스웨터
2018-08-20,6,니트/스웨터
2018-08-21,6,니트/스웨터
2018-08-22,6,니트/스웨터
2018-08-23,7,니트/스웨터
2018-08-24,7,니트/스웨터
2018-08-25,7,니트/스웨터
2018-08-26,10,니트/스웨터
2018-08-27,9,니트/스웨터
2018-08-28,9,니트/스웨터
2018-08-29,9,니트/스웨터
2018-08-30,9,니트/스웨터
2018-08-31,8,니트/스웨터
2018-09-01,9,니트/스웨터
2018-09-02,12,니트/스웨터
2018-09-03,12,니트/스웨터
2018-09-04,12,니트/스웨터
2018-09-05,12,니트/스웨터
2018-09-06,12,니트/스웨터
2018-09-07,11,니트/스웨터
2018-09-08,13,니트/스웨터
2018-09-09,17,니트/스웨터
2018-09-10,17,니트/스웨터
2018-09-11,18,니트/스웨터
2018-09-12,17,니트/스웨터
2018-09-13,16,니트/스웨터
2018-09-14,14,니트/스웨터
2018-09-15,16,니트/스웨터
2018-09-16,20,니트/스웨터
2018-09-17,18,니트/스웨터
2018-09-18,17,니트/스웨터
2018-09-19,16,니트/스웨터
2018-09-20,16,니트/스웨터
2018-09-21,15,니트/스웨터
2018-09-22,16,니트/스웨터
2018-09-23,18,니트/스웨터
2018-09-24,18,니트/스웨터
2018-09-25,22,니트/스웨터
2018-09-26,32,니트/스웨터
2018-09-27,29,니트/스웨터
2018-09-28,26,니트/스웨터
2018-09-29,27,니트/스웨터
2018-09-30,35,니트/스웨터
2018-10-01,39,니트/스웨터
2018-10-02,31,니트/스웨터
2018-10-03,38,니트/스웨터
2018-10-04,34,니트/스웨터
2018-10-05,32,니트/스웨터
2018-10-06,34,니트/스웨터
2018-10-07,41,니트/스웨터
2018-10-08,38,니트/스웨터
2018-10-09,45,니트/스웨터
2018-10-10,49,니트/스웨터
2018-10-11,49,니트/스웨터
2018-10-12,44,니트/스웨터
2018-10-13,43,니트/스웨터
2018-10-14,56,니트/스웨터
2018-10-15,53,니트/스웨터
2018-10-16,51,니트/스웨터
2018-10-17,50,니트/스웨터
2018-10-18,48,니트/스웨터
2018-10-19,41,니트/스웨터
2018-10-20,42,니트/스웨터
2018-10-21,55,니트/스웨터
2018-10-22,54,니트/스웨터
2018-10-23,53,니트/스웨터
2018-10-24,50,니트/스웨터
2018-10-25,45,니트/스웨터
2018-10-26,46,니트/스웨터
2018-10-27,48,니트/스웨터
2018-10-28,66,니트/스웨터
2018-10-29,69,니트/스웨터
2018-10-30,68,니트/스웨터
2018-10-31,62,니트/스웨터
2018-11-01,59,니트/스웨터
2018-11-02,50,니트/스웨터
2018-11-03,52,니트/스웨터
