location,locationIndex
경상남도,2.0
대구광역시,5.0
이어도,11.0
경기도,1.0
전라남도,17.0
서울특별시,8.0
울산광역시,10.0
세종특별자치시,9.0
충청북도,16.0
인천광역시,12.0
부산광역시,7.0
경상북도,3.0
대전광역시,6.0
전라북도,13.0
제주특별자치도,14.0
광주광역시,4.0
강원도,0.0
충청남도,15.0
